"Age","Daily_vegetable_consumption","Dark_vegetable_frequency","Vegetable_supplement_use","New_dish_acceptance"
"12 and under","Less than 1","Sometimes","Rarely","Definitely"
"19 to 44","2 to 3","Sometimes","Rarely","Neutral"
"12 and under","1 to 2","Always","Sometimes","Neutral"
"12 and under","2 to 3","Often","Sometimes","Neutral"
"12 and under","2 to 3","Often","Never","Definitely"
"12 and under","1 to 2","Often","Rarely","Probably"
"12 and under","1 to 2","Often","Rarely","Probably"
"45 to 64","2 to 3","Often","Often","Probably"
"12 and under","1 to 2","Often","Never","Definitely"
"12 and under","3 to 4","Often","Never","Neutral"
"12 and under","2 to 3","Often","Never","Definitely"
"45 to 64","2 to 3","Often","Sometimes","Probably not"
"12 and under","1 to 2","Always","Always","Neutral"
"19 to 44","Less than 1","Rarely","Rarely","Neutral"
"12 and under","2 to 3","Sometimes","Never","Neutral"
"12 and under","3 to 4","Sometimes","Rarely","Definitely"
"12 and under","1 to 2","Sometimes","Rarely","Neutral"
"12 and under","More than 4","Often","Never","Probably"
"12 and under","1 to 2","Sometimes","Never","Neutral"
"12 and under","1 to 2","Often","Never","Probably"
"19 to 44","3 to 4","Often","Rarely","Probably"
"19 to 44","2 to 3","Sometimes","Often","Probably not"
"19 to 44","2 to 3","Always","Rarely","Definitely"
"12 and under","1 to 2","Sometimes","Never","Definitely"
"12 and under","1 to 2","Sometimes","Sometimes","Probably"
"12 and under","1 to 2","Sometimes","Rarely","Neutral"
"12 and under","1 to 2","Often","Rarely","Probably"
"12 and under","1 to 2","Sometimes","Rarely","Neutral"
"12 and under","1 to 2","Often","Often","Definitely"
"12 and under","1 to 2","Often","Never","Definitely"
"12 and under","1 to 2","Rarely","Sometimes","Probably not"
"12 and under","1 to 2","Often","Rarely","Probably not"
"12 and under","1 to 2","Sometimes","Rarely","Probably"
"12 and under","1 to 2","Sometimes","Rarely","Probably"
"12 and under","Less than 1","Rarely","Sometimes","Definitely not"
"12 and under","More than 4","Sometimes","Sometimes","Neutral"
"12 and under","1 to 2","Sometimes","Never","Neutral"
"12 and under","Less than 1","Sometimes","Never","Probably"
"12 and under","Less than 1","Rarely","Never","Neutral"
"12 and under","Less than 1","Sometimes","Often","Neutral"
"12 and under","2 to 3","Sometimes","Rarely","Definitely not"
"12 and under","2 to 3","Sometimes","Never","Probably not"
"12 and under","1 to 2","Sometimes","Rarely","Neutral"
"12 and under","2 to 3","Sometimes","Rarely","Neutral"
"12 and under","1 to 2","Sometimes","Sometimes","Probably"
"12 and under","More than 4","Always","Always","Definitely"
"19 to 44","2 to 3","Often","Never","Definitely"
"19 to 44","1 to 2","Sometimes","Rarely","Probably"
"45 to 64","2 to 3","Often","Never","Probably"
"13 to 18","2 to 3","Often","Never","Definitely"
"13 to 18","3 to 4","Often","Sometimes","Probably"
"13 to 18","1 to 2","Sometimes","Never","Probably not"
"13 to 18","1 to 2","Often","Rarely","Probably"
"13 to 18","1 to 2","Rarely","Rarely","Neutral"
"13 to 18","2 to 3","Sometimes","Rarely","Neutral"
"13 to 18","1 to 2","Sometimes","Sometimes","Neutral"
"13 to 18","1 to 2","Often","Often","Neutral"
"13 to 18","1 to 2","Sometimes","Rarely","Probably"
"13 to 18","1 to 2","Sometimes","Rarely","Neutral"
"13 to 18","1 to 2","Sometimes","Never","Neutral"
"13 to 18","1 to 2","Sometimes","Rarely","Probably not"
"13 to 18","1 to 2","Sometimes","Often","Probably not"
"13 to 18","1 to 2","Sometimes","Rarely","Neutral"
"13 to 18","3 to 4","Often","Rarely","Probably"
"13 to 18","1 to 2","Rarely","Sometimes","Neutral"
"13 to 18","More than 4","Sometimes","Always","Definitely"
"13 to 18","1 to 2","Often","Sometimes","Neutral"
"13 to 18","1 to 2","Sometimes","Never","Neutral"
"13 to 18","Less than 1","Never","Never","Definitely not"
"13 to 18","1 to 2","Often","Never","Neutral"
"13 to 18","Less than 1","Rarely","Rarely","Definitely not"
"13 to 18","1 to 2","Often","Never","Neutral"
"13 to 18","2 to 3","Often","Rarely","Probably"
"13 to 18","2 to 3","Often","Rarely","Neutral"
"13 to 18","1 to 2","Often","Never","Neutral"
"13 to 18","1 to 2","Often","Often","Neutral"
"13 to 18","1 to 2","Never","Never","Neutral"
"13 to 18","Less than 1","Never","Rarely","Definitely"
"13 to 18","2 to 3","Sometimes","Often","Neutral"
"13 to 18","1 to 2","Often","Rarely","Probably"
"13 to 18","Less than 1","Rarely","Rarely","Definitely not"
"13 to 18","2 to 3","Often","Rarely","Definitely"
"13 to 18","More than 4","Always","Always","Definitely"
"13 to 18","2 to 3","Often","Never","Probably"
"13 to 18","1 to 2","Often","Never","Probably"
"13 to 18","3 to 4","Often","Rarely","Neutral"
"13 to 18","Less than 1","Sometimes","Rarely","Probably"
"13 to 18","Less than 1","Rarely","Rarely","Neutral"
"13 to 18","More than 4","Always","Always","Neutral"
"13 to 18","Less than 1","Sometimes","Rarely","Definitely"
"13 to 18","1 to 2","Sometimes","Rarely","Probably"
"13 to 18","2 to 3","Often","Rarely","Probably"
"13 to 18","1 to 2","Often","Sometimes","Neutral"
"13 to 18","1 to 2","Often","Rarely","Probably"
"13 to 18","2 to 3","Sometimes","Rarely","Neutral"
"13 to 18","2 to 3","Always","Rarely","Neutral"
"13 to 18","2 to 3","Sometimes","Rarely","Definitely"
"13 to 18","1 to 2","Often","Rarely","Neutral"
"13 to 18","1 to 2","Sometimes","Sometimes","Probably"
"13 to 18","2 to 3","Sometimes","Rarely","Neutral"
"13 to 18","1 to 2","Sometimes","Rarely","Neutral"
"13 to 18","2 to 3","Sometimes","Rarely","Probably"
"13 to 18","1 to 2","Often","Sometimes","Definitely"
"13 to 18","1 to 2","Sometimes","Never","Neutral"
"13 to 18","Less than 1","Always","Rarely","Probably not"
"13 to 18","More than 4","Often","Sometimes","Neutral"
"13 to 18","2 to 3","Always","Sometimes","Neutral"
"13 to 18","2 to 3","Sometimes","Always","Definitely"
"13 to 18","1 to 2","Sometimes","Rarely","Probably"
"13 to 18","Less than 1","Often","Rarely","Definitely not"
"13 to 18","2 to 3","Sometimes","Rarely","Neutral"
